order	playlist_index	video_id	source_slug	imported	diarization	duration	title
68	74	QtqfIjK1GAc	predictive-history-qtqfijk1gac	no	yes	1:12:55	Civilization #59:  The Man of Steel
69	72	voQEteh6Hko	predictive-history-voqeteh6hko	no	yes	12:32	Civilization BONUS:  Meet Professor Jiang
70	71	8XdL-7tAqnU	predictive-history-8xdl-7taqnu	no	yes	28:32	Geo-Strategy Update:  US-Iran War Incoming
71	70	N4cs-8mrP_s	predictive-history-n4cs-8mrp-s	no	yes	22:01	Geo-Strategy Update #2:  WWIII Begins, Let's Game Theory
72	69	bc9adtiIN_k	predictive-history-bc9adtiin-k	no	yes	25:46	Geo-Strategy Update #3:  The Messianic Calling
73	68	Kw-TiN6dEcM	predictive-history-kw-tin6decm	no	yes	31:13	Geo-Strategy Update #4:  Newton's Divine Plan
74	67	5I2VPYPJJ68	predictive-history-5i2vpypjj68	no	yes	39:40	Geo-Strategy Update #5:   The Universal Law of Game Theory
75	66	ZgvAHZqaawA	predictive-history-zgvahzqaawa	no	yes	45:10	Geo-Strategy Update #6:  Is Putin the Ubermensch?
76	65	YQ-xg1nIbMs	predictive-history-yq-xg1nibms	no	yes	41:27	Geo-Strategy Update #7:  When Eschatologies Converge
77	64	E83dpuyvpiM	predictive-history-e83dpuyvpim	no	yes	38:06	Geo-Strategy Update #8:  Why the West is Doomed
78	63	ajFXykT9Joo	predictive-history-ajfxykt9joo	no	yes	1:11:15	Secret History #1:  How Power Works
79	62	lt8XLz78ZvY	predictive-history-lt8xlz78zvy	no	yes	1:11:15	Secret History #1:  How Power Works (4K Re-Upload with Audio Fixed)
80	61	K-_l9jBGo74	predictive-history-k-l9jbgo74	no	yes	56:14	Secret History #2:  How Societies Collapse
81	60	0g3yo1DjiLM	predictive-history-0g3yo1djilm	no	yes	49:19	Secret History #3:  Death by Gerontocracy
82	59	BtlWoqWLm9Q	predictive-history-btlwoqwlm9q	no	yes	1:08:06	Secret History #4:  How Evil Triumphs
83	58	EgGfQdv_rPc	predictive-history-eggfqdv-rpc	no	yes	1:10:29	Secret History #5:  The Birth of Evil
84	57	6PdfD44DkqA	predictive-history-6pdfd44dkqa	no	yes	50:28	Secret History #6:  The Psychology of Evil (Graphic and Disturbing, Viewer Discretion Advised)
85	56	JU_8fJjtGxA	predictive-history-ju-8fjjtgxa	no	yes	1:04:52	Secret History #7:  Death by Meritocracy
